"county","fips","candidate","state","votes","total","pct","Women","White","Citizen","IncomePerCap","Poverty","ChildPoverty","Professional","Service","Office","Production","Drive","Carpool","Transit","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","SelfEmployed","FamilyWork","Unemployment","Minority"
"quay",35037,"Donald Trump","new mexico",2212,3572,0.619260918253079,51.5290871464705,51.5120487468384,77.3396183030582,17335.1448608876,17.1646125546103,18.9977925959991,31.5567026902736,20.6841342837434,22.8846171533686,11.1290411588871,75.8410439181421,13.3390894458496,0.0648884801103702,2.31903885950793,7.53318004138883,14.6583582432743,33.7663830765693,67.51591170384,6.79664290641527,1.80156357783398,5.33731892389055,47.3633478960681
"quay",35037,"Hillary Clinton","new mexico",1017,3572,0.28471444568869,51.5290871464705,51.5120487468384,77.3396183030582,17335.1448608876,17.1646125546103,18.9977925959991,31.5567026902736,20.6841342837434,22.8846171533686,11.1290411588871,75.8410439181421,13.3390894458496,0.0648884801103702,2.31903885950793,7.53318004138883,14.6583582432743,33.7663830765693,67.51591170384,6.79664290641527,1.80156357783398,5.33731892389055,47.3633478960681
"rio arriba",35039,"Hillary Clinton","new mexico",9592,14878,0.644710310525608,50.8748654534532,13.1127863025357,71.8415980374978,19678.0670354702,23.7289919647551,30.6839119877844,35.0162181781772,27.2295051190268,19.8350922426093,7.02113194322762,80.7928383689204,11.0051515682495,1.52007059000225,2.42304187839495,3.25148063781321,26.0098725875491,38.2287416455981,55.6476707802448,7.3593131242334,0.26882775538812,11.5041252597061,86.1589000976245
"rio arriba",35039,"Donald Trump","new mexico",3599,14878,0.241900793117354,50.8748654534532,13.1127863025357,71.8415980374978,19678.0670354702,23.7289919647551,30.6839119877844,35.0162181781772,27.2295051190268,19.8350922426093,7.02113194322762,80.7928383689204,11.0051515682495,1.52007059000225,2.42304187839495,3.25148063781321,26.0098725875491,38.2287416455981,55.6476707802448,7.3593131242334,0.26882775538812,11.5041252597061,86.1589000976245
"roosevelt",35041,"Donald Trump","new mexico",3884,5950,0.652773109243697,49.3871810327506,54.1725738396624,68.0178822583886,18187.1048322282,26.010483222825,35.1827807916415,28.3159182238296,26.0949969861362,22.0825547518585,10.1657876230661,77.8281545107494,12.3124422342777,0.111874623267028,2.20535965441029,2.20435001004621,15.9922242314647,40.8428772352823,67.4678973277075,5.86968555354631,0.32650190878039,9.72344786015672,43.9620002009243
"roosevelt",35041,"Hillary Clinton","new mexico",1454,5950,0.24436974789916,49.3871810327506,54.1725738396624,68.0178822583886,18187.1048322282,26.010483222825,35.1827807916415,28.3159182238296,26.0949969861362,22.0825547518585,10.1657876230661,77.8281545107494,12.3124422342777,0.111874623267028,2.20535965441029,2.20435001004621,15.9922242314647,40.8428772352823,67.4678973277075,5.86968555354631,0.32650190878039,9.72344786015672,43.9620002009243
"sandoval",35043,"Hillary Clinton","new mexico",27707,61690,0.449132760577079,50.8621320569681,45.5227345248028,72.9826256239114,26742.4655000805,14.2136323716682,17.7865440067917,39.1708060715174,17.7451199519899,24.7929777953424,8.13402933298204,81.4402633235264,8.50555189625141,1.21550959469547,1.47281576135482,5.92470981718116,29.5022190020346,42.7648238410984,71.634462594593,6.1402259986241,0.0910727616036534,9.50599833135731,51.9979076098889
"sandoval",35043,"Donald Trump","new mexico",25905,61690,0.419922191603177,50.8621320569681,45.5227345248028,72.9826256239114,26742.4655000805,14.2136323716682,17.7865440067917,39.1708060715174,17.7451199519899,24.7929777953424,8.13402933298204,81.4402633235264,8.50555189625141,1.21550959469547,1.47281576135482,5.92470981718116,29.5022190020346,42.7648238410984,71.634462594593,6.1402259986241,0.0910727616036534,9.50599833135731,51.9979076098889
"san juan",35045,"Donald Trump","new mexico",27946,46110,0.606072435480373,50.4335387148074,41.0160724988612,70.0862282531387,22460.2765297723,20.0469636306969,25.3961864576091,26.7334508083399,20.6172184795378,25.1439652210049,11.8753622146037,84.0766504439277,9.35894847881854,0.352986822021369,1.17718827167893,3.09343178857695,24.0287973596094,41.204957924768,75.7046334699879,3.68539074424812,0.288207746957237,9.64585680835591,56.9038255296365
"san juan",35045,"Hillary Clinton","new mexico",12865,46110,0.279006723053568,50.4335387148074,41.0160724988612,70.0862282531387,22460.2765297723,20.0469636306969,25.3961864576091,26.7334508083399,20.6172184795378,25.1439652210049,11.8753622146037,84.0766504439277,9.35894847881854,0.352986822021369,1.17718827167893,3.09343178857695,24.0287973596094,41.204957924768,75.7046334699879,3.68539074424812,0.288207746957237,9.64585680835591,56.9038255296365
"san miguel",35047,"Hillary Clinton","new mexico",7285,10751,0.677611384987443,50.3627738244733,19.0178770754849,76.9220036277382,17849.1200990652,29.7703885865774,38.2975722059439,31.1999232593833,25.6701479000977,24.5740023719827,8.35361378540533,77.0764999302358,9.1522359425143,0.36970140923678,2.20936933165899,7.60199874424445,20.9394097948933,34.0135342542207,56.7987651737129,5.46565857401981,0.379102134784429,6.57029091670155,80.1727640574857
"san miguel",35047,"Donald Trump","new mexico",2313,10751,0.215142777416054,50.3627738244733,19.0178770754849,76.9220036277382,17849.1200990652,29.7703885865774,38.2975722059439,31.1999232593833,25.6701479000977,24.5740023719827,8.35361378540533,77.0764999302358,9.1522359425143,0.36970140923678,2.20936933165899,7.60199874424445,20.9394097948933,34.0135342542207,56.7987651737129,5.46565857401981,0.379102134784429,6.57029091670155,80.1727640574857
"santa fe",35049,"Hillary Clinton","new mexico",50793,71434,0.711047960355013,51.2949669630476,43.1488674987084,71.7037822552139,33043.6728593958,15.3967466079343,19.607497212932,42.4574285558909,20.7514064496832,21.5669093455149,6.97318636647905,75.6839689207929,10.5696868967017,1.08249789270468,2.42670215080077,8.03468744051989,21.9102101857139,47.8716317263507,66.7516817576202,12.1822844440819,0.202925741631998,7.82937909563042,55.3390665361503
"santa fe",35049,"Donald Trump","new mexico",14332,71434,0.200632751910855,51.2949669630476,43.1488674987084,71.7037822552139,33043.6728593958,15.3967466079343,19.607497212932,42.4574285558909,20.7514064496832,21.5669093455149,6.97318636647905,75.6839689207929,10.5696868967017,1.08249789270468,2.42670215080077,8.03468744051989,21.9102101857139,47.8716317263507,66.7516817576202,12.1822844440819,0.202925741631998,7.82937909563042,55.3390665361503
"sierra",35051,"Donald Trump","new mexico",3010,5181,0.580968924917969,49.8751614291864,66.9171330176496,81.5755488592337,18981.7040895394,20.9254412397762,32.5337839001291,27.9904175634955,26.6937839001291,23.1926043908739,11.9368144640551,80.8441239776152,10.7344382264313,0.120740421868274,0.364304778303917,5.04900559621179,15.9613947481705,34.1885492897116,59.8753938872148,9.89081360309944,0.36039603960396,6.82548428755919,30.3504003443823
